"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"GmISU01.02G188500.v2.1"	-2.15843797791107	5.82820755730864	41.0054875423472	2.62261929539119e-05	0.0560452978524644
"GmISU01.18G160600.v2.1"	-1.38015494871551	6.86094543623223	38.6467962309709	3.50759563620657e-05	0.0560452978524644
"GmISU01.10G041500.v2.1"	-1.76644833841693	7.43076558306988	36.6380500473219	4.5429855054686e-05	0.0560452978524644
"GmISU01.11G087400.v2.1"	-2.84196645916948	4.1063186571489	33.9216524290314	6.56108913507435e-05	0.0607064772222755
"GmISU01.18G107600.v2.1"	-1.74024331491128	5.09476420812964	30.9793180387469	0.000100254120860914	0.0742081002612489
"GmISU01.13G169100.v2.1"	-1.91138384755592	4.81628775413158	28.5553476031284	0.000145449744063512	0.074309064089052
"GmISU01.07G072700.v2.1"	-1.16401309462197	6.8822006523558	28.2987949780038	0.000151492778631938	0.074309064089052
"GmISU01.06G126400.v2.1"	-1.48683798388458	9.19630524051914	27.9327999120735	0.000160624834561582	0.074309064089052
"GmISU01.17G020200.v2.1"	4.82877773928288	8.79400189012851	26.8349505199157	0.000192096761667617	0.0789944572146499
"GmISU01.04G155600.v2.1"	-1.1502555850111	8.93560634252621	22.7088314585084	0.000395540437352464	0.124646871483374
"GmISU01.19G117000.v2.1"	-0.938545142206482	7.92665139234928	22.2590027734593	0.000430213891420336	0.124646871483374
"GmISU01.12G068100.v2.1"	2.48735155095562	8.46253098146566	21.9591761302847	0.000455286094038256	0.124646871483374
"GmISU01.05G180500.v2.1"	-1.28126351623065	5.40887177483989	21.3612754935554	0.000510525606127129	0.124646871483374
"GmISU01.18G036500.v2.1"	1.78435813703687	6.47149463349313	20.8248410836305	0.00056679880375838	0.124646871483374
"GmISU01.15G191600.v2.1"	-1.81343536376411	4.84053844305059	20.7419029578566	0.000576127361334156	0.124646871483374
"GmISU01.13G236800.v2.1"	1.04788384006687	8.31428191072269	20.6163817412888	0.000590586556513787	0.124646871483374
"GmISU01.05G146200.v2.1"	-1.534097198218	5.67954362419472	20.502522480509	0.000604067749662584	0.124646871483374
"GmISU01.19G017900.v2.1"	0.980963194115796	7.24672243242552	20.135289994094	0.000650047173281261	0.124646871483374
"GmISU01.15G068600.v2.1"	-0.874676846635501	6.6137416443173	20.0138352967317	0.00066613897717945	0.124646871483374
"GmISU01.10G119900.v2.1"	-1.40930729870393	6.81077962757261	19.7402284874574	0.000704114066507423	0.124646871483374
