genes	X4R07C00CMN09NSFBV	X4R08C69DMN09NSFBV	X4R16C59DMN09NSFBV	FN_2R14C31CMN09NSFBV	FN_2R25C06CMN09NSFBV	FN_6R42C96DMN09NSFBV	M92.220.01	M92.220.02	M92.220.05	M92.220.06	M92.220.07
GmISU01.01G000300.v2.1	3.66440946983889	1.86553557640773	1.97342050411818	2.3304821202993	3.96435749338276	3.63457080821104	4.07724335516526	2.98439606031955	2.11788123993789	3.15492053076738	3.01768984579888
GmISU01.01G000500.v2.1	2.8726561438952	1.86553557640773	3.29296523134822	2.71372990914431	0.977384054633652	2.62041231970179	2.88579195752019	2.68429760172033	2.11788123993789	3.15492053076738	3.60706204144222
GmISU01.01G001300.v2.1	0.977384054633652	2.8061820280856	1.97342050411818	2.3304821202993	0.977384054633652	0.977384054633652	2.22650957483033	2.68429760172033	0.977384054633652	0.977384054633652	2.0043793084403
GmISU01.01G001600.v2.1	8.11771226401169	6.67916024881833	7.42896810363604	7.58301575096108	7.65843962601694	8.10738894879294	7.58305780310969	7.79399762273527	7.65240768321694	8.01499419538763	8.01914982329984
GmISU01.01G001700.v2.1	3.94082177491044	4.8465498952595	3.29296523134822	5.38404419108988	2.70393782647784	5.30714376309566	2.59348740400748	2.68429760172033	2.74679177032776	4.50987713058697	4.83447766484522
GmISU01.01G001800.v2.1	3.66440946983889	0.977384054633652	1.97342050411818	0.977384054633652	2.70393782647784	2.021151001939	2.22650957483033	2.68429760172033	2.74679177032776	0.977384054633652	0.977384054633652
GmISU01.01G002000.v2.1	4.17269445440695	4.76000737742381	5.13981318471408	4.95637688336004	3.46762736682825	4.75761466208373	4.99055176727335	4.30772247590272	5.55552737986409	5.00151026588552	4.72727313573072
GmISU01.01G002100.v2.1	5.48577278460783	5.27880130826739	5.49335403154403	5.43597050771886	3.96435749338276	4.96492777651054	5.10861760228104	5.39567851869634	5.93688744124203	5.44615144243383	5.35017865186609
GmISU01.01G002400.v2.1	0.977384054633652	1.86553557640773	0.977384054633652	2.3304821202993	0.977384054633652	3.04254643194337	0.977384054633652	1.78875000927458	0.977384054633652	0.977384054633652	0.977384054633652
GmISU01.01G002601.v2.1	5.39688314018762	6.33450500938608	6.01408134268697	5.58139708690119	6.38909986964981	5.30714376309566	5.84666062850501	5.63020951980182	4.21494607787667	4.1824965279748	3.60706204144222
GmISU01.01G003100.v2.1	11.0388485433856	11.5453231740516	11.3967646591729	11.4247303110343	11.1109766924059	11.101096491418	11.2057879140055	11.2364242512406	9.95612366872401	9.79019584649601	10.086062419507
GmISU01.01G003300.v2.1	6.10662650739939	5.9212169348569	5.7246283175473	6.42864568024895	5.26092867075728	5.91872047537458	6.0072953480186	5.97511722040037	6.14460248824188	6.56186724597179	6.19934421300883
GmISU01.01G003400.v2.1	5.56950203075214	5.75216585091903	6.69751666795389	6.04977392033254	6.22340504874172	6.06101063702754	6.09573708030301	6.3084211283371	4.68288633626557	5.52072071128108	5.02759277251793
GmISU01.01G005000.v2.1	3.32217901439923	2.41120158879958	3.77793763697169	3.66469205342074	0.977384054633652	3.36871579887852	3.51825583841746	2.98439606031955	0.977384054633652	2.09813502873131	2.0043793084403
GmISU01.01G005300.v2.1	6.80414571735047	8.09456088118014	7.50869043331777	7.47546840624473	7.44915376903779	7.12846832384234	7.81785072647623	7.69399586546292	7.09965258809738	7.69902361974286	7.73081337754869
GmISU01.01G005400.v2.1	6.45372492289742	6.39318862484228	6.82756426267276	6.04977392033254	6.30862992780785	6.41913785435229	6.85593447473945	6.9695721905151	5.40215080782917	6.29069687988391	5.42069323803933
GmISU01.01G005900.v2.1	3.66440946983889	1.86553557640773	1.97342050411818	2.3304821202993	0.977384054633652	2.62041231970179	0.977384054633652	1.78875000927458	2.74679177032776	0.977384054633652	2.59822913173228
GmISU01.01G006000.v2.1	4.17269445440695	3.58733266620391	3.55573457534148	4.23293107011179	3.46762736682825	3.63457080821104	3.67957437036948	3.62909140513859	0.977384054633652	2.09813502873131	3.83071190392259
GmISU01.01G006800.v2.1	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	3.48794235554443	0.977384054633652
GmISU01.01G007800.v2.1	5.6486373087024	6.55614702737219	6.42905854852385	6.14644823463967	6.85351020134742	5.81541269902943	6.2058096895737	6.04172820238984	5.03564928346454	5.19608935250273	5.93601773226625
GmISU01.01G008200.v2.1	0.977384054633652	2.8061820280856	1.97342050411818	2.3304821202993	3.46762736682825	0.977384054633652	2.22650957483033	2.30492447788489	2.11788123993789	2.72120178055425	0.977384054633652
GmISU01.01G008300.v2.1	4.70417666831939	3.11594066294778	3.29296523134822	3.01624241833366	4.33316912679405	4.5154299538132	4.38864907973365	5.34382355075428	3.18331123426228	2.72120178055425	4.02429934401108
GmISU01.01G008400.v2.1	5.20076708273801	4.22653085890588	3.55573457534148	3.47915526204486	4.87037545518691	4.86499184274275	4.56424294024304	3.93972015443948	4.54311874407048	4.64935828630023	5.19788324679724
GmISU01.01G008800.v2.1	9.98218080980167	10.3201522526838	10.3181863970534	9.87904308831741	10.1063217376157	9.66332625345951	10.3160955421672	10.4730451127652	7.04887519569027	7.74640632443252	8.23997719065045
GmISU01.01G008900.v2.1	7.62523280484491	6.70255251844566	7.37893061340549	7.2180963225014	6.96272087177834	7.19171574662398	7.10354438917509	7.06873743652961	7.93002192759125	7.61642105560519	7.40528528141909
GmISU01.01G009600.v2.1	0.977384054633652	1.86553557640773	1.97342050411818	2.3304821202993	0.977384054633652	2.62041231970179	3.12873391605106	3.23269168431508	2.74679177032776	3.48794235554443	2.0043793084403
GmISU01.01G009700.v2.1	2.21614685086223	2.8061820280856	0.977384054633652	3.26618640158959	3.46762736682825	2.62041231970179	3.82465512956352	2.30492447788489	2.74679177032776	3.75832547063225	4.02429934401108
GmISU01.01G009800.v2.1	7.52392857308482	7.9651469174019	7.93529399688642	7.52425951939896	7.15908831063346	7.12846832384234	7.59322107181306	7.54121563104778	6.96919230166164	6.98701059536874	6.70227396807367
GmISU01.01G011200.v2.1	2.8726561438952	2.41120158879958	0.977384054633652	2.3304821202993	3.96435749338276	2.021151001939	0.977384054633652	0.977384054633652	0.977384054633652	2.09813502873131	2.59822913173228
GmISU01.01G011300.v2.1	4.70417666831939	4.35017398363715	4.14025519807972	4.11045527599217	3.46762736682825	3.63457080821104	3.956470115482	3.93972015443948	2.74679177032776	3.15492053076738	2.59822913173228
GmISU01.01G012200.v2.1	3.66440946983889	0.977384054633652	2.55705939782261	0.977384054633652	0.977384054633652	2.021151001939	3.12873391605106	2.98439606031955	0.977384054633652	0.977384054633652	0.977384054633652
GmISU01.01G012300.v2.1	5.6486373087024	5.21516708428189	5.92389909290428	5.62678786235755	6.13282781177729	5.51925042900984	5.77703991305822	5.67286470844616	6.14460248824188	6.33269804800692	5.61365141411547
GmISU01.01G012900.v2.1	5.20076708273801	4.76000737742381	5.29177206937332	4.54811511155026	5.42259902592112	4.5154299538132	5.45914032904518	4.07309278427604	5.13636551583157	5.19608935250273	5.27603961440437
GmISU01.01G013500.v2.1	7.16874759762507	6.89758744799451	6.52420423572402	6.55142604771543	6.67243127028851	6.67662949899586	6.65713197125911	6.57898988009723	6.40900516217536	6.84911604778216	6.55329857329774
GmISU01.01G013600.v2.1	4.17269445440695	3.58733266620391	3.55573457534148	3.82906407190606	0.977384054633652	4.05312632468122	2.59348740400748	2.68429760172033	2.11788123993789	2.72120178055425	3.83071190392259
GmISU01.01G013900.v2.1	2.8726561438952	3.11594066294778	3.29296523134822	2.71372990914431	2.70393782647784	3.04254643194337	2.88579195752019	2.98439606031955	2.74679177032776	0.977384054633652	2.0043793084403
GmISU01.01G014100.v2.1	3.66440946983889	3.11594066294778	3.55573457534148	4.11045527599217	0.977384054633652	3.85897457541598	2.59348740400748	3.79274992115207	4.68288633626557	3.75832547063225	4.02429934401108
GmISU01.01G014400.v2.1	4.54780874336661	4.8465498952595	4.29216989968491	5.67079398497642	5.56796422686696	5.45195453499277	5.36737126570241	5.39567851869634	4.81030123167851	5.36751679251594	4.83447766484522
GmISU01.01G014600.v2.1	2.21614685086223	1.86553557640773	1.97342050411818	1.80707174710563	0.977384054633652	0.977384054633652	1.73311470228689	2.68429760172033	2.11788123993789	3.15492053076738	2.59822913173228
GmISU01.01G015300.v2.1	2.8726561438952	1.86553557640773	1.97342050411818	2.71372990914431	0.977384054633652	4.86499184274275	2.22650957483033	2.30492447788489	2.11788123993789	3.48794235554443	2.0043793084403
GmISU01.01G015400.v2.1	6.80414571735047	4.09128938824999	4.96994344234905	3.82906407190606	7.33190185627491	6.19051828813186	4.29212763702235	5.71429487276628	6.59746583873972	7.13677272965441	6.48911630154605
GmISU01.01G015500.v2.1	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	3.46762736682825	0.977384054633652	0.977384054633652	2.98439606031955	0.977384054633652	0.977384054633652	0.977384054633652
GmISU01.01G016300.v2.1	9.80782590555785	9.38876999840531	9.22685988963927	9.4060241797229	10.1760214406589	9.15078421725438	8.11450595384198	8.22506891415907	9.28936785522188	9.04150442720216	8.97317971370327
GmISU01.01G017100.v2.1	2.8726561438952	1.86553557640773	0.977384054633652	1.80707174710563	2.70393782647784	3.36871579887852	2.22650957483033	3.44446344729184	2.74679177032776	3.15492053076738	3.83071190392259
GmISU01.01G017500.v2.1	4.17269445440695	4.76000737742381	3.97044067882202	3.82906407190606	3.46762736682825	2.62041231970179	4.07724335516526	3.44446344729184	3.7894405170609	4.64935828630023	4.34754571263907
GmISU01.01G018200.v2.1	5.98991226448969	7.19012998010494	7.44526889969823	7.0281741027067	6.96272087177834	5.38136531269275	7.0602397018703	6.8813870996375	4.92737069479431	5.52072071128108	6.19934421300883
GmISU01.01G020100.v2.1	7.80871325202359	8.88983339669083	8.97510155567015	9.36643131118388	7.20427078850814	6.96912381788087	8.10032370556881	7.84151377759026	5.48087636629117	6.819881906693	6.07368057693302
GmISU01.01G020800.v2.1	2.8726561438952	0.977384054633652	1.97342050411818	0.977384054633652	0.977384054633652	2.021151001939	2.59348740400748	1.78875000927458	3.7894405170609	2.72120178055425	2.59822913173228
GmISU01.01G021000.v2.1	2.8726561438952	2.8061820280856	1.97342050411818	3.97660933845808	0.977384054633652	3.63457080821104	1.73311470228689	0.977384054633652	0.977384054633652	2.09813502873131	3.34226537473309
GmISU01.01G021600.v2.1	2.8726561438952	4.22653085890588	3.97044067882202	3.01624241833366	4.33316912679405	2.62041231970179	3.82465512956352	3.23269168431508	0.977384054633652	3.75832547063225	3.01768984579888
GmISU01.01G022900.v2.1	2.21614685086223	1.86553557640773	0.977384054633652	0.977384054633652	3.46762736682825	2.021151001939	2.59348740400748	0.977384054633652	0.977384054633652	2.09813502873131	2.59822913173228
GmISU01.01G023800.v2.1	2.8726561438952	3.94204621843889	2.55705939782261	2.3304821202993	2.70393782647784	2.021151001939	4.07724335516526	2.98439606031955	2.11788123993789	2.09813502873131	2.59822913173228
