GeneName	Bert-01	Bert-02	Bert-03	Bert-04	Bert-05	WTP0579-16	WTP0579-18	WTP0579-26	WTP0579-32
GmISU01.01G010500	0	0	0	0	0	0	0	0	0
GmISU01.01G010600	0	0	0	0	0	0	0	0	0
GmISU01.01G010700	0	0	0	0	0	0	0	0	0
GmISU01.01G010800	0	0	2	0	0	1	1	0	0
GmISU01.01G010900	0	0	0	0	0	0	0	0	0
GmISU01.01G011000	0	0	0	0	0	0	0	0	0
GmISU01.01G011100	0	0	0	0	0	0	0	0	0
GmISU01.01G011200	2	6	0	0	1	4	5	2	2
GmISU01.01G011300	0	0	0	0	0	0	0	0	0
GmISU01.01G011400	0	0	0	0	0	0	0	0	0
GmISU01.01G011500	0	0	0	0	0	0	0	0	0
GmISU01.01G011600	0	0	0	0	0	0	0	0	0
GmISU01.01G011700	0	0	0	0	0	0	0	0	0
GmISU01.01G011800	0	0	0	0	0	0	0	0	0
GmISU01.01G011900	0	0	0	0	0	0	0	0	0
GmISU01.01G011950	0	0	0	0	0	0	0	0	0
GmISU01.01G012000	0	0	0	0	0	0	0	0	0
GmISU01.01G012100	0	0	0	0	0	0	0	0	0
GmISU01.01G012200	0	0	3	0	1	4	0	0	0
GmISU01.01G012300	14	38	28	29	34	25	25	23	28
GmISU01.01G012400	0	2	0	0	0	0	0	0	0
GmISU01.01G012500	0	0	0	0	0	0	0	0	0
GmISU01.01G012600	0	1	0	0	0	0	1	0	1
GmISU01.01G012700	0	0	0	0	0	0	0	0	0
GmISU01.01G012800	0	0	0	0	0	0	0	0	0
GmISU01.01G012900	18	25	36	12	17	16	14	14	17
GmISU01.01G013000	0	0	0	0	0	0	0	0	0
GmISU01.01G013100	0	0	0	0	0	0	0	0	0
GmISU01.01G013200	0	0	0	0	0	0	0	0	0
GmISU01.01G013300	0	0	0	0	0	0	0	0	0
GmISU01.01G013400	0	0	0	0	0	0	0	0	0
GmISU01.01G013500	58	96	101	36	97	60	53	44	57
GmISU01.01G013600	4	6	0	7	9	5	1	5	2
GmISU01.01G013700	0	0	0	0	0	1	0	0	0
GmISU01.01G013800	2	0	0	0	0	0	0	0	0
GmISU01.01G013900	1	0	1	2	3	5	1	3	3
GmISU01.01G014000	0	0	0	0	0	0	0	0	0
GmISU01.01G014100	4	6	1	5	5	4	6	5	4
GmISU01.01G014200	0	0	0	0	0	0	0	0	0
GmISU01.01G014300	0	0	0	0	0	0	0	0	0
GmISU01.01G014400	5	10	27	7	11	18	17	13	14
GmISU01.01G014500	0	0	1	0	0	0	0	0	0
GmISU01.01G014600	2	2	3	3	2	1	10	4	8
GmISU01.01G014700	0	0	0	1	1	3	3	2	3
GmISU01.01G014800	0	0	0	0	0	0	0	0	0
GmISU01.01G014900	0	0	0	0	0	0	0	0	0
GmISU01.01G015000	0	0	0	0	0	0	0	0	0
GmISU01.01G015100	0	0	0	0	0	0	0	0	0
GmISU01.01G015200	0	0	0	0	0	0	0	0	0
GmISU01.01G015300	4	2	0	2	2	4	2	3	8
GmISU01.01G015400	37	39	23	38	49	116	109	80	207
GmISU01.01G015500	5	0	3	0	1	1	6	2	3
GmISU01.01G015600	0	0	0	0	0	0	0	0	0
GmISU01.01G015700	0	0	0	0	0	0	0	0	0
GmISU01.01G015800	0	0	0	0	0	0	0	0	0
GmISU01.01G015900	0	1	0	2	0	1	1	1	0
GmISU01.01G016000	0	0	0	0	0	0	0	0	0
GmISU01.01G016100	0	0	0	0	0	0	0	0	0
GmISU01.01G016200	0	0	0	0	0	0	0	0	0
GmISU01.01G016300	235	256	103	265	275	314	339	281	142
GmISU01.01G016400	0	0	0	0	0	0	0	0	0
GmISU01.01G016500	0	0	0	0	0	0	0	0	0
GmISU01.01G016600	1	0	0	0	0	0	0	0	0
GmISU01.01G016700	0	0	0	0	0	0	0	0	0
GmISU01.01G016800	0	0	0	0	0	0	0	0	0
GmISU01.01G016900	0	0	0	0	0	0	0	0	0
GmISU01.01G017000	0	0	0	0	0	0	0	0	0
GmISU01.01G017100	5	4	6	1	1	1	3	1	0
GmISU01.01G017200	0	0	0	0	0	0	0	0	0
GmISU01.01G017300	0	0	1	0	0	0	0	0	0
GmISU01.01G017400	0	0	0	0	0	0	0	0	0
GmISU01.01G017500	6	21	18	4	7	6	3	3	6
GmISU01.01G017600	0	0	0	0	0	0	0	0	0
GmISU01.01G017700	0	0	0	0	0	0	0	0	0
GmISU01.01G017800	0	1	1	0	1	0	1	0	1
GmISU01.01G017900	1	1	1	0	3	1	0	0	0
GmISU01.01G018000	0	0	0	0	0	0	0	0	0
GmISU01.01G018100	0	0	0	0	0	0	0	0	0
GmISU01.01G018200	52	102	56	13	72	38	41	25	49
GmISU01.01G018300	0	0	0	0	0	0	0	0	0
GmISU01.01G018400	0	0	0	0	0	0	0	0	0
GmISU01.01G018500	0	0	0	0	0	0	0	0	0
GmISU01.01G018600	0	0	0	0	0	0	0	2	0
GmISU01.01G018700	0	0	0	0	0	0	0	0	0
