genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WTP0579.16	WTP0579.18	WTP0579.26	WTP0579.32
GmISU01.01G000300.v2.1	3.96996950005849	2.25688429486715	2.80109557156528	0.562771745184491	2.76277182832218	2.64338834246888	4.1625429305583	4.35433794042109	4.9322320851848
GmISU01.01G000500.v2.1	3.09992616690293	2.55591605799835	3.0605390878773	2.89756862739078	2.04685667612768	3.65639711205318	2.15851924980558	1.55429159996985	0.562771745184489
GmISU01.01G001300.v2.1	0.562771745184491	0.562771745184491	2.48453710804054	1.79436785569481	0.562771745184491	2.21961270304365	0.562771745184489	2.13641627239693	0.562771745184489
GmISU01.01G001600.v2.1	7.57978617113765	7.33178431678639	6.48153400775218	6.74184724232305	7.94871357097265	7.127553950038	7.82674103565769	7.63334996642944	7.56656283521679
GmISU01.01G001700.v2.1	6.31361218544253	4.412237339668	2.0784048195632	2.44894449249177	5.50091862036903	4.2456699325774	5.10178280640104	4.35433794042109	5.31131150465146
GmISU01.01G002000.v2.1	4.61713384103015	4.16908238235633	4.98578976954061	6.1124735339067	4.41880889899545	4.91180275024764	5.03762071929057	5.30128242148948	4.9322320851848
GmISU01.01G002100.v2.1	5.72595316756597	5.64135630501972	6.21439554881036	6.41144952714248	6.58086257897757	6.62182884861451	6.4366232837877	6.10071418559238	6.36674013824914
GmISU01.01G002601.v2.1	5.20790562185261	6.14627079678187	7.93383374297478	3.9465265006986	5.45799435086929	5.71056885325588	5.48527441669987	4.35433794042109	6.10352362505217
GmISU01.01G003100.v2.1	11.5860535957008	11.6952558396008	11.2721299464059	10.7416368337167	11.4143843608051	11.1500079735383	10.8113267461456	11.2522675717497	11.1730631224499
GmISU01.01G003300.v2.1	5.46129842891101	5.6728287119842	5.10570529792172	5.83895052024118	5.54260258484521	5.36577467605122	5.90044577103626	5.50050948978067	5.65566724311765
GmISU01.01G003400.v2.1	6.10633214706649	5.57627373220675	4.71115144516025	4.41902688371487	5.45799435086929	5.8363595669664	6.00481044545419	5.54629593678535	6.03788445866224
GmISU01.01G005000.v2.1	2.76544728414175	2.80348184177439	2.80109557156528	0.562771745184491	2.04685667612768	2.21961270304365	0.562771745184489	1.55429159996985	2.18125335944731
GmISU01.01G005300.v2.1	6.17878533965735	7.37068858572438	7.02849169061706	5.9821845536487	6.76821454431905	7.23806398338336	6.62306997183817	6.83138288906748	6.96971550259834
GmISU01.01G005400.v2.1	6.10633214706649	6.96312246980497	5.04699308424661	6.30645880606859	6.85349221145158	7.1110524045422	6.93627533628949	7.05374397579982	7.27048774504647
GmISU01.01G005900.v2.1	0.562771745184491	1.366213121777	1.51108951230996	1.79436785569481	0.562771745184491	2.21961270304365	0.562771745184489	1.55429159996985	2.92483032674013
GmISU01.01G006000.v2.1	3.3712675132226	2.80348184177439	2.0784048195632	1.79436785569481	3.5965625090272	3.65639711205318	1.57086804721782	3.86939950559177	3.18951285267276
GmISU01.01G007800.v2.1	5.40199937214192	6.33515013296837	4.98578976954061	5.56322829318612	6.05578566817115	4.98607453445301	5.70774332816135	5.45322216689085	5.19567658847548
GmISU01.01G008200.v2.1	0.562771745184491	0.562771745184491	2.48453710804054	0.562771745184491	0.562771745184491	0.562771745184491	1.57086804721782	0.562771745184489	1.58798380713049
GmISU01.01G008300.v2.1	4.90032017512171	4.412237339668	6.18746661004229	2.89756862739078	5.00040323353144	5.12404637928943	5.22213291787747	4.35433794042109	5.1341869021062
GmISU01.01G008400.v2.1	4.12470485848473	3.98074176921072	4.05152256555418	3.2392796804893	4.58761205186463	3.65639711205318	4.27812317186212	3.71758629786	4.77995552865782
GmISU01.01G008800.v2.1	9.23156577770659	10.5599585716021	9.72912658810481	6.82021466836214	9.20021065021333	9.18076093860725	8.37326270076221	8.45872164862058	9.39072802890412
