genes	NMU_14204	NMU_16331	NMU_20728	NMU_20732	Williams.82.ISU.01.01	Williams.82.ISU.01.02	Williams.82.ISU.01.03	Williams.82.ISU.01.04	Williams.82.ISU.01.05
GmISU01.01G000300.v2.1	3.05308305151793	3.33489092365518	1.88448558073144	3.45279719884277	4.22492486975799	3.19591211639538	2.29067796972423	4.58732699292197	4.19756267885223
GmISU01.01G000500.v2.1	2.6134470484528	1.94185777511269	0.814959520703225	2.02034907676498	3.45934835562093	2.44927528264763	2.29067796972423	2.6358176222957	2.56229714348927
GmISU01.01G001600.v2.1	8.59862562731517	8.29541094831284	8.59402231021753	8.31661638941505	8.02504268201733	8.0274140398136	7.89691896976147	6.50588650036644	7.42454829581228
GmISU01.01G001700.v2.1	5.81414413612238	4.20330014644115	5.53036462504901	5.35113178982878	4.63572768079847	3.87939573774479	4.36183258920955	3.41566349431489	3.82791294695653
GmISU01.01G001800.v2.1	0.814959520703223	1.94185777511269	0.814959520703225	2.02034907676498	2.67339970436879	2.44927528264763	2.29067796972423	2.24181919763128	1.65152577034286
GmISU01.01G002000.v2.1	4.91177780027909	4.62465771675453	5.70089200961526	4.62847936029955	5.02501269798007	4.58329385795806	4.74567499931009	4.17775853098769	4.80864290945244
GmISU01.01G002100.v2.1	4.80330985104082	4.20330014644115	5.33694468475573	4.87430989044026	4.54346620903208	5.5293607652999	4.36183258920955	4.29155517478502	4.94438178104121
GmISU01.01G002400.v2.1	0.814959520703223	0.814959520703225	1.88448558073144	0.814959520703223	2.98537771883598	0.814959520703223	0.814959520703223	3.19942968563267	3.32965453223682
GmISU01.01G002601.v2.1	5.35764981249143	5.50770073588526	4.64124619358918	4.62847936029955	5.62935225073249	5.69316682229001	4.90504992097756	6.30372580337147	6.14729996731788
GmISU01.01G003100.v2.1	10.9836928605248	11.1991222634429	11.15893929516	10.8417377684957	10.5773518483998	10.9449409042437	10.3204686236229	11.2264900265622	11.1547980555871
GmISU01.01G003300.v2.1	5.57117220874629	5.95789263450899	5.99127437169634	4.98311521913044	5.38542251565557	5.40881706049526	5.9377647939525	5.78742024273195	5.60765979431994
GmISU01.01G003400.v2.1	5.86899163163145	6.22217790135768	6.80655837650346	6.09568809249484	6.27090637123446	6.01560697958596	6.04435643955993	6.10012832072622	5.60765979431994
GmISU01.01G005000.v2.1	1.97799237537085	3.00135269766607	0.814959520703225	2.02034907676498	2.27479467644525	2.44927528264763	2.29067796972423	2.24181919763128	3.68015735339459
GmISU01.01G005300.v2.1	6.84711310034235	7.64111736575346	6.78142811617785	7.10135502871282	6.27090637123446	6.13441314225095	6.97196752997251	7.43106702690103	7.44758167614203
