GeneName	NMU_14204	NMU_16331	NMU_20728	NMU_20732	Williams-82-ISU-01-01	Williams-82-ISU-01-02	Williams-82-ISU-01-03	Williams-82-ISU-01-04	Williams-82-ISU-01-05
GmISU01.01G010400	0	0	0	0	0	0	0	0	0
GmISU01.01G010500	0	0	0	0	0	0	0	0	0
GmISU01.01G010600	0	0	0	0	0	0	0	0	0
GmISU01.01G010700	0	0	0	0	0	0	0	0	0
GmISU01.01G010800	0	1	3	0	0	1	3	3	1
GmISU01.01G010900	0	0	0	0	0	0	0	0	0
GmISU01.01G011000	0	0	0	0	0	0	0	0	0
GmISU01.01G011100	0	0	1	0	1	0	1	0	0
GmISU01.01G011200	0	1	4	2	1	3	6	6	2
GmISU01.01G011300	3	4	2	4	8	5	13	12	12
GmISU01.01G011400	0	0	0	0	0	0	0	0	0
GmISU01.01G011500	0	0	0	0	0	0	0	0	0
GmISU01.01G011600	0	0	0	0	0	0	0	0	0
GmISU01.01G011700	0	0	0	0	0	0	0	0	0
GmISU01.01G011800	0	0	0	0	0	0	0	0	0
GmISU01.01G011900	0	0	0	0	0	0	0	0	0
GmISU01.01G011950	0	0	0	0	0	0	0	0	0
GmISU01.01G012000	0	0	0	0	0	0	0	0	0
GmISU01.01G012100	0	0	0	0	0	0	0	0	0
GmISU01.01G012200	0	2	0	1	0	0	0	3	1
GmISU01.01G012300	26	34	19	17	31	23	41	33	28
GmISU01.01G012400	0	0	0	0	1	0	1	0	0
GmISU01.01G012500	0	0	0	0	0	0	0	0	0
GmISU01.01G012600	1	1	1	0	1	1	0	0	0
GmISU01.01G012700	0	0	0	0	0	0	0	0	0
GmISU01.01G012800	0	0	0	0	0	0	0	0	0
GmISU01.01G012900	12	11	5	7	13	11	22	20	21
GmISU01.01G013000	0	0	0	0	0	0	0	0	0
GmISU01.01G013100	0	0	0	0	0	0	0	0	0
GmISU01.01G013200	0	0	0	0	0	0	0	0	0
GmISU01.01G013300	0	0	0	0	0	0	0	0	0
GmISU01.01G013400	0	0	0	0	0	0	0	0	0
GmISU01.01G013500	43	57	49	44	43	47	45	52	59
GmISU01.01G013600	9	3	6	3	1	2	2	2	0
GmISU01.01G013700	0	0	0	0	0	0	0	0	0
GmISU01.01G013800	0	0	0	0	0	0	0	0	3
GmISU01.01G013900	0	4	0	0	3	1	6	2	1
GmISU01.01G014000	0	0	0	0	0	0	0	0	0
GmISU01.01G014100	4	1	4	10	6	7	8	2	6
GmISU01.01G014200	0	0	0	0	0	0	0	0	0
GmISU01.01G014300	0	0	0	0	0	0	0	0	0
GmISU01.01G014400	6	15	14	10	17	14	15	11	22
GmISU01.01G014500	0	0	0	0	0	0	0	0	0
GmISU01.01G014600	2	1	1	2	5	2	9	2	5
GmISU01.01G014700	1	0	22	1	3	2	1	0	1
GmISU01.01G014800	0	0	0	0	0	0	0	0	0
GmISU01.01G014900	0	0	0	0	0	0	0	0	0
GmISU01.01G015000	0	0	11	0	0	0	0	0	0
GmISU01.01G015100	0	0	0	0	0	0	0	0	0
GmISU01.01G015200	0	0	0	0	0	0	0	0	0
GmISU01.01G015300	13	3	12	5	22	9	8	6	4
GmISU01.01G015400	34	16	34	45	142	99	78	55	45
GmISU01.01G015500	0	1	2	0	1	1	1	0	0
GmISU01.01G015600	0	0	0	0	0	0	0	0	0
GmISU01.01G015700	0	0	0	0	0	0	0	0	0
GmISU01.01G015800	0	0	0	0	0	0	0	0	0
GmISU01.01G015900	0	0	0	1	0	1	0	0	1
GmISU01.01G016000	0	0	0	0	0	0	0	0	0
GmISU01.01G016100	0	0	0	0	0	0	0	0	0
GmISU01.01G016200	0	0	0	0	0	0	0	0	0
GmISU01.01G016300	276	395	456	455	225	162	157	200	251
GmISU01.01G016400	0	0	0	0	0	0	0	0	0
GmISU01.01G016500	0	0	0	0	0	0	0	0	0
GmISU01.01G016600	1	0	0	0	0	1	0	0	0
GmISU01.01G016700	0	0	0	0	0	0	0	0	0
GmISU01.01G016800	0	0	0	0	0	0	0	0	0
GmISU01.01G016900	0	0	0	0	0	0	0	0	0
GmISU01.01G017000	0	0	0	0	0	0	0	0	0
GmISU01.01G017100	2	0	3	2	13	1	7	8	4
GmISU01.01G017200	0	0	0	0	0	0	0	0	0
GmISU01.01G017300	0	0	0	0	0	0	0	0	0
GmISU01.01G017400	0	0	0	0	0	0	0	0	0
GmISU01.01G017500	5	4	2	3	3	2	7	11	5
GmISU01.01G017600	0	0	0	0	0	0	0	0	0
GmISU01.01G017700	0	0	0	0	0	0	0	0	0
GmISU01.01G017800	0	0	1	1	2	1	3	2	0
GmISU01.01G017900	3	0	0	0	1	1	1	2	0
GmISU01.01G018000	0	0	0	0	0	0	0	0	0
GmISU01.01G018100	0	0	0	0	0	0	0	0	0
GmISU01.01G018200	19	41	23	30	58	47	33	82	65
GmISU01.01G018300	0	0	0	0	0	0	0	0	0
GmISU01.01G018400	0	0	0	0	0	0	0	0	0
GmISU01.01G018500	0	0	0	0	0	0	0	0	0
GmISU01.01G018600	0	0	0	0	0	0	0	0	0
GmISU01.01G018700	0	0	0	0	0	1	0	0	0
GmISU01.01G018800	0	0	0	0	0	0	0	0	0
GmISU01.01G018900	0	0	0	0	0	0	0	0	0
GmISU01.01G019000	0	0	0	0	0	0	0	0	0
GmISU01.01G019100	0	0	0	0	0	0	0	0	0
GmISU01.01G019200	0	0	0	0	0	0	0	0	0
GmISU01.01G019300	0	0	0	0	0	0	0	0	0
GmISU01.01G019400	0	0	0	0	0	0	0	0	0
GmISU01.01G019500	0	0	0	0	0	0	0	0	0
GmISU01.01G019600	0	0	0	0	0	0	0	0	0
GmISU01.01G019700	0	0	0	0	0	0	0	0	0
GmISU01.01G019800	1	1	0	0	0	0	0	1	0
GmISU01.01G019900	0	0	0	0	0	0	0	0	0
GmISU01.01G020000	0	0	1	0	0	0	0	0	0
GmISU01.01G020100	63	152	74	47	14	10	2	43	119
GmISU01.01G020200	0	0	0	0	0	0	0	0	0
GmISU01.01G020300	0	0	0	0	0	0	0	1	1
GmISU01.01G020400	0	0	0	0	0	0	0	0	0
GmISU01.01G020500	0	0	0	0	0	0	0	0	0
GmISU01.01G020600	0	0	0	0	0	0	0	0	0
GmISU01.01G020700	0	0	0	0	0	0	0	0	0
GmISU01.01G020800	1	2	2	6	2	2	6	2	3
GmISU01.01G020900	0	0	0	0	0	0	0	0	0
GmISU01.01G021000	4	3	2	1	3	4	2	2	5
GmISU01.01G021100	0	0	0	0	0	0	0	0	0
GmISU01.01G021200	2	2	0	2	1	0	1	0	0
GmISU01.01G021300	0	1	0	0	0	0	0	0	0
GmISU01.01G021400	0	0	0	0	0	0	0	0	0
GmISU01.01G021500	0	0	0	0	0	0	0	0	0
GmISU01.01G021600	9	7	3	5	9	9	8	9	5
GmISU01.01G021700	0	0	0	0	0	0	0	0	0
GmISU01.01G021800	0	0	0	0	0	0	0	0	0
GmISU01.01G021900	0	0	0	0	0	0	0	0	0
GmISU01.01G022000	0	0	1	0	0	1	0	0	0
GmISU01.01G022100	0	0	1	2	0	0	0	0	0
GmISU01.01G022200	0	0	0	0	0	0	0	0	0
GmISU01.01G022300	0	0	0	0	0	0	0	0	0
GmISU01.01G022400	0	1	3	0	0	0	0	0	0
GmISU01.01G022500	0	0	0	0	0	0	0	0	0
GmISU01.01G022600	0	0	0	0	0	0	0	0	0
GmISU01.01G022700	0	0	0	0	0	0	0	0	0
GmISU01.01G022800	0	0	0	0	0	0	0	0	0
GmISU01.01G022900	0	0	0	0	3	0	1	0	0
GmISU01.01G023000	0	0	0	0	0	0	0	0	0
GmISU01.01G023100	0	0	0	0	0	0	0	0	0
GmISU01.01G023200	0	0	0	0	0	0	0	0	0
GmISU01.01G023300	0	0	0	0	0	0	0	0	0
GmISU01.01G023400	0	0	0	0	0	0	0	0	0
GmISU01.01G023450	0	0	0	0	0	0	0	0	0
