"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"GmISU01.01G097800.v2.1"	2.23396479783651	4.64440140810259	38.1533588785623	5.97632345435243e-05	0.118927697566902
"GmISU01.08G184100.v2.1"	-1.33752333707122	9.33087538990823	35.7729432252947	7.95947239528359e-05	0.118927697566902
"GmISU01.05G148050.v2.1"	-2.16255900383188	4.98897173460376	33.8616669413911	0.000101292444178397	0.118927697566902
"GmISU01.14G011450.v2.1"	-1.07760739048141	5.73434671739695	30.6025388456988	0.000156705141274902	0.118927697566902
"GmISU01.14G117800.v2.1"	-3.85694295763779	4.74729606508857	30.5728904270218	0.000157353397151233	0.118927697566902
"GmISU01.18G160600.v2.1"	-1.18764192261711	6.47149845439146	27.0153815549178	0.000264310947961756	0.152874078150145
"GmISU01.09G011100.v2.1"	4.06303495192318	6.18115989099072	26.2790684418393	0.0002960986389654	0.152874078150145
"GmISU01.13G238000.v2.1"	2.93557930411392	5.76787619172599	25.7129176956838	0.000323628638581941	0.152874078150145
"GmISU01.09G207600.v2.1"	1.88190848968624	4.51913321522698	23.0972685278932	0.000497504604298042	0.199154994852969
"GmISU01.16G156900.v2.1"	1.25681690958901	8.00699943220178	22.2175980295836	0.00057936727405999	0.199154994852969
"GmISU01.09G164500.v2.1"	-0.980091412655153	6.79415400281877	21.9012157953073	0.000612623231894494	0.199154994852969
"GmISU01.14G123600.v2.1"	2.00143406141464	5.07197259167079	21.722466309789	0.000632405381909401	0.199154994852969
"GmISU01.07G197900.v2.1"	1.28761135401438	8.08029631302374	21.2022834042313	0.000694403292409769	0.201857695539732
"GmISU01.11G026300.v2.1"	1.48539986611258	5.69047944410959	20.3954847677405	0.000805337803015388	0.211799681917709
"GmISU01.18G078800.v2.1"	1.06837118887353	5.31182921932594	20.1655325373388	0.000840697334947245	0.211799681917709
"GmISU01.13G169800.v2.1"	1.15419818357495	7.02602142631932	18.9536889528839	0.00106028851265572	0.245226373291756
"GmISU01.17G077200.v2.1"	-1.20098528209863	5.8165916145031	18.604536457402	0.00113567697950849	0.245226373291756
"GmISU01.11G121900.v2.1"	2.91868203610421	7.67003243719226	18.4628818095999	0.00116805364362308	0.245226373291756
"GmISU01.19G131600.v2.1"	1.45357461615036	6.28697531861053	17.9057903084628	0.00130640719573564	0.259837515404473
"GmISU01.17G184700.v2.1"	1.32760756799145	6.76873295416403	17.4491213680792	0.00143440278272192	0.267944456246421
