genes	X3MR_10	X3MR_12	X6MR_2	X6MR_9	Jack.01	Jack.02_B03	Jack.02_B07	Jack.04	Jack.05
GmISU01.01G000300.v2.1	3.77816783378112	2.57932494464582	3.67615948055799	3.03276901877297	2.41960059177111	3.1316983488063	3.56598842215967	3.40309450804281	0.730111113151101
GmISU01.01G000500.v2.1	0.730111113151099	0.730111113151101	1.60847877776619	1.93876542824582	1.80920772919755	2.56615843724737	2.07206393116335	2.21166260905705	0.730111113151101
GmISU01.01G001600.v2.1	8.65709316408411	8.55132882007118	6.93823023489781	8.18455189882242	8.59774174780879	8.1806953128818	8.12507699753268	7.88600821193864	8.11913085642562
GmISU01.01G001700.v2.1	4.68820600267325	5.90567610385442	3.9601514430581	5.75111412618692	5.12440773592742	4.11201070650994	3.96923136930172	5.16398001542295	5.02494677075607
GmISU01.01G001800.v2.1	0.730111113151099	1.93269743766592	0.730111113151099	0.730111113151101	0.730111113151099	1.62290493616833	1.55179771424122	2.92702580048574	2.34824134709906
GmISU01.01G002000.v2.1	4.89727625759622	4.89358942988981	5.13058486644168	5.09945847103587	4.57334657004731	5.21677454219377	5.17117747933157	4.58247617463481	5.02494677075607
GmISU01.01G002100.v2.1	5.58171304170735	6.05368181431569	5.13058486644168	5.96714502401288	4.78130728369593	4.84102539616906	5.44855742461107	5.38538272333538	5.30102707442699
GmISU01.01G002400.v2.1	0.730111113151099	0.730111113151101	2.54358760202904	0.730111113151101	0.730111113151099	0.730111113151101	1.55179771424122	0.730111113151099	1.75505812597562
GmISU01.01G002601.v2.1	3.9754241569277	4.24261003023954	6.0361375275144	4.54898166456167	4.78130728369593	5.72304537134818	5.88132855035782	5.27892439459929	5.36251584609336
GmISU01.01G003100.v2.1	11.0391015095449	11.1516494516725	11.5842901366005	10.9956370190493	11.015919001922	11.5295719386475	11.4899574258634	11.4309232561023	11.4782564843956
GmISU01.01G003300.v2.1	5.6980042421917	6.68829006304646	6.26205039686423	6.01645141031219	5.924151166594	5.72304537134818	5.88132855035782	5.70612226518894	5.73220778020783
GmISU01.01G003400.v2.1	5.31656012807181	5.74073230590201	5.80450836714575	5.96714502401288	5.63365708426816	6.00429100646946	6.08443969271523	5.96836375799576	6.17074014572548
GmISU01.01G005000.v2.1	2.9428315711359	0.730111113151101	2.54358760202904	1.93876542824582	2.41960059177111	2.17028551607243	1.55179771424122	2.61323655988974	1.75505812597562
