genes	X3MT_2.3	X3MT_4.3	X3MT_5.4	X3MT_7.2	X3MT_8.2	X3MT_9.3	X3MT_10.4	X3MT_11.3	X3MT_12.3	X6MT_1.3	X6MT_2.2	X6MT_3.3	X6MT_4.4	X6MT_5.4	X6MT_6.3	X6MT_6.4	X6MT_6.5	X6MT_8.4	X6MT_9.3	Jack.01	Jack.02_B03	Jack.02_B07	Jack.04	Jack.05
GmISU01.11G089500.v2.1	3.95050037562438	6.19412904265163	5.22511245516893	3.65890947463041	5.71574779660255	5.54959746929321	6.40775574494168	6.98476692939409	5.59766275329587	4.69968028574822	5.79708906819791	5.95612188457591	5.22102406391825	4.0768342183515	6.10263463699248	3.71634688336551	6.9863210263953	6.43870860804031	6.59770742855086	6.06469790677515	6.83495999862135	5.24898218731517	5.22155918167187	5.15919320557428
GmISU01.11G090000.v2.1	2.65527983825468	4.713323135514	4.03676231907862	2.84302576116253	3.85081863060203	3.64935710572895	4.91283049900994	2.88718928381601	4.16079864437111	3.46634042830855	4.94982875698264	4.88038751566269	5.13771182322967	2.08587805255177	5.4385493520731	0.781869303201001	5.29429649980998	4.74022047824099	2.12496527528901	4.17179709268718	3.5156075347562	4.22213161260299	3.59699234388944	4.93692637629367
GmISU01.11G090400.v2.1	3.95050037562438	5.26641758220726	5.05335549337133	3.43462611880321	3.85081863060203	4.84751322999698	5.92022355577752	4.71852651403228	4.92888817995484	4.05769902459921	5.39684582188151	4.17263177034587	5.0492920423137	4.0768342183515	6.14015856519148	1.57955503622741	4.29181655885342	5.43957630657736	3.27008984952902	4.65933101645893	2.5567879146415	4.02172225194721	4.17253150265551	3.35372101732679
GmISU01.11G090700.v2.1	4.75013286660997	5.72219029953691	4.95914579512276	5.38298245203185	5.78388781957559	5.37237665754576	5.17833346899839	5.37405857133663	5.88758636073706	5.06406688860762	5.05099975512468	5.95612188457591	5.0492920423137	5.70705240768189	4.55145033859944	5.99821592093999	5.92320197890284	5.13186701764228	4.88099542793034	5.66196056687385	5.18683317038171	4.82504990631119	5.27779119425099	5.22627314715635
GmISU01.11G091200.v2.1	0.781869303201001	2.97229260130869	3.3385233560686	2.84302576116253	2.09123409667083	1.81725068797775	1.90621484690542	0.781869303201001	3.15457525571495	2.87173029910749	2.63451315095588	1.74450635163311	2.5619548658872	3.00617217532184	0.781869303201001	3.40671251379679	2.82367142162086	1.75980631320896	0.781869303200998	3.6540574934309	1.63578168196684	0.781869303201001	2.22816982327703	2.77007496988851
GmISU01.11G091400.v2.1	5.93695887259805	6.4515059816337	6.23241712226604	6.74415611997396	7.17050905361918	6.40492111247923	6.05839730076104	7.32848740161027	6.79826585534814	6.73137272257951	5.96204874570648	6.51489248626002	6.58342821958873	6.81842029244507	6.24720736533249	6.37438215432313	6.53673339774267	6.59616009331621	6.78220770810445	6.73862840405622	6.95281224281891	5.90238354247717	6.52643546900109	6.81075600259013
GmISU01.11G092400.v2.1	2.65527983825468	0.781869303201001	1.93298385842731	3.65890947463041	2.76614800731856	1.81725068797775	0.781869303201001	1.85292985916437	2.82952537021826	2.87173029910749	3.41953256675654	3.8846871881819	2.99962678432769	2.46161299105612	2.83829651128302	3.84935386011225	0.781869303201001	3.32987044756745	3.05758527162587	3.16439792467344	2.16856513738786	3.65671224321632	3.19131703474343	4.08963258327622
GmISU01.11G092500.v2.1	3.44360851737176	3.57694143219674	3.61055572020071	4.31510326371994	2.76614800731856	4.16687212284754	2.96458667838458	2.46082213112927	4.00810538754333	4.05769902459921	3.69433443480187	3.30401158370841	2.99962678432769	3.00617217532184	1.81973158831167	3.22278496912241	3.83052218293774	3.32987044756745	2.80828097437422	3.84802276039862	3.1144278461705	3.78891202294989	3.59699234388944	3.35372101732679
GmISU01.11G092600.v2.1	9.0826762801677	10.1229022712907	9.43091027621008	8.61067493775736	10.0276901534655	9.92312059274055	10.3668639237207	8.80883882737318	9.59646779374094	9.69464115301835	10.218742804681	9.96837144382672	10.1337730558362	8.81403839598242	10.2509800088563	8.45975575315557	10.9060681747337	9.85901526335064	8.3344585935431	10.4514600227676	9.44544603320971	9.25096267043066	9.57741061759322	9.5540603822524
GmISU01.11G093100.v2.1	2.00343004625769	1.91156861278954	0.781869303201001	0.781869303201001	2.76614800731856	0.781869303201001	1.90621484690542	0.781869303201001	0.781869303201001	2.44698022089002	0.781869303201001	0.781869303201001	1.93062950268715	0.781869303201001	1.81973158831167	2.46665719021658	0.781869303201001	0.781869303201001	0.781869303200998	1.82004187479733	0.781869303201001	2.71380171623397	0.781869303201001	0.781869303201001
GmISU01.11G093400.v2.1	4.14978830451212	5.34102424486154	5.05335549337133	4.85791822034266	4.28626950199285	5.17029670982925	4.32043686074809	4.71852651403228	5.08973663996599	4.4759239692425	3.92507380694571	4.95816337375237	4.85432032203022	4.88289252361829	4.93979659337389	5.26800455770735	0.781869303201001	4.20093200857155	4.022677204695	2.83875596637374	4.58078360659363	4.47859236493603	4.58283414835583	4.57460744822561
GmISU01.11G093500.v2.1	6.50836148660486	6.4515059816337	6.55580172282939	6.2184784397722	6.41949957829479	6.85071831182912	5.92022355577752	5.77406505725493	6.5443173258163	6.67976967665254	5.96204874570648	6.16734738092407	6.38095126701036	6.27609946485924	6.78616810889079	6.41786995091857	6.29553487351951	5.94807408810672	5.9657482311966	6.28178655814563	6.03510985375365	6.30701581931021	6.273390005099	6.35141432959182
GmISU01.11G093600.v2.1	4.62181741716499	4.00172226808587	3.83934106831079	4.55721780670346	5.11945279227405	5.30811115694976	4.70409719181218	4.07580153799434	5.16390030032156	4.69968028574822	4.12394755795187	4.17263177034587	4.7459714709788	4.88289252361829	4.55145033859944	4.61876166937881	3.83052218293774	4.44131013960599	3.90035491733959	3.84802276039862	3.5156075347562	4.62729736506057	4.58283414835583	4.4677791711177
GmISU01.11G093700.v2.1	4.14978830451212	4.32946493547159	4.03676231907862	3.43462611880321	4.7621907683474	4.75411858455022	3.79625277748685	4.22928920697831	3.41968710874928	4.4759239692425	3.69433443480187	4.17263177034587	2.99962678432769	3.70998012553618	3.65353527488081	4.18759425257225	3.63690041427646	3.55119278945254	4.67256540812437	3.42990293871208	3.96360109291008	4.12540407565424	3.91327382293273	3.93780521468637
